2	1088629138000.0
3	1088633393000.0
4	1088633910000.0
5	1088634163000.0
6	1088634383000.0
7	1088634539000.0
8	1088634722000.0
9	1088634919000.0
10	1088635105000.0
12	1088635657000.0
13	1088636263000.0
14	1088636950000.0
15	1088661422000.0
16	1088704322000.0
17	1088705221000.0
18	1088713943000.0
19	1088715401000.0
27	1088731868000.0
28	1088732670000.0
32	1088750214000.0
33	1088758758000.0
38	1088824060000.0
39	1088828498000.0
40	1088829153000.0
47	1088874304000.0
48	1088874976000.0
49	1088875629000.0
50	1088876540000.0
51	1088877330000.0
52	1088878421000.0
53	1088878878000.0
56	1088880548000.0
57	1088880980000.0
58	1088881475000.0
59	1088882001000.0
60	1088882653000.0
61	1088883378000.0
62	1088884543000.0
64	1088886256000.0
65	1088888073000.0
66	1088888789000.0
67	1088889532000.0
68	1088890238000.0
69	1088891063000.0
70	1088891887000.0
71	1088893744000.0
72	1088894253000.0
73	1088894924000.0
74	1088895283000.0
75	1088895525000.0
76	1088896634000.0
77	1088897358000.0
78	1088897815000.0
79	1088898266000.0
80	1088898577000.0
81	1088898945000.0
82	1088899314000.0
83	1088899672000.0
84	1088900387000.0
85	1088901463000.0
86	1088902658000.0
87	1088903068000.0
88	1088903388000.0
89	1088903594000.0
90	1088904242000.0
91	1088904947000.0
92	1088905257000.0
93	1088905889000.0
94	1088906419000.0
95	1088907032000.0
96	1088907497000.0
97	1088907604000.0
98	1088962152000.0
99	1088963041000.0
100	1088963768000.0
101	1088964216000.0
102	1088965120000.0
103	1088965549000.0
104	1088965959000.0
105	1088966385000.0
106	1088966849000.0
107	1088967168000.0
108	1088978251000.0
110	1088968063000.0
111	1088968804000.0
112	1088969309000.0
113	1088969752000.0
114	1088970207000.0
115	1088970505000.0
116	1088971052000.0
118	1088974902000.0
119	1088975175000.0
121	1088976039000.0
123	1088983925000.0
124	1088977216000.0
130	1088979970000.0
131	1088980381000.0
135	1088981990000.0
136	1089155098000.0
137	1088982623000.0
141	1088984835000.0
155	1089053068000.0
157	1089053729000.0
159	1089054406000.0
160	1089054702000.0
163	1089056957000.0
164	1089057840000.0
165	1089058690000.0
168	1089060340000.0
169	1089060590000.0
170	1089060913000.0
171	1089061073000.0
172	1089061241000.0
173	1089061430000.0
174	1089061648000.0
175	1089061890000.0
177	1089062215000.0
178	1089062420000.0
179	1089062633000.0
182	1089063151000.0
183	1089063339000.0
184	1089064047000.0
185	1089065835000.0
186	1089066070000.0
187	1089066299000.0
188	1089069548000.0
189	1089069840000.0
190	1089074195000.0
191	1089074352000.0
192	1089074352000.0
